issue_no,repo,url,defect type,rationale,,,,,,,
6365,awx,https://github.com/ansible/awx/issues/6365,Environment-Specific Behavior and Configuration Bugs,Jobs fail to start after a fresh AWX install on CentOS 7 with Docker indicating an environment-specific configuration or setup issue.,,,,,,,
6433,awx,https://github.com/ansible/awx/issues/6433,Schema and Payload Validation Errors in POST APIs,The API rejects the request with a 400 error and a message indicating an invalid role assignment due to schema or business rule violation.,,,,,,,
6460,awx,https://github.com/ansible/awx/issues/6460,Middleware Integration Failures in REST APIs,504 Gateway Timeout and upstream timed out errors in logs indicate failure in communication between web server and backend service.,,,,,,,
6492,awx,https://github.com/ansible/awx/issues/6492,Environment-Specific Behavior and Configuration Bugs,Issue occurs on a newly installed AWX using Docker on CentOS 7 and results in a 504 error when launching a job template indicating an environment or configuration-specific problem.,,,,,,,
6498,awx,https://github.com/ansible/awx/issues/6498,Environment-Specific Behavior and Configuration Bugs,504 timeouts on job_events API occur specifically when running long tasks in an OpenShift deployment of AWX.,,,,,,,
6520,awx,https://github.com/ansible/awx/issues/6520,"Session, Token, and Account Lifecycle Management Errors",The logout button sends a GET instead of a POST request causing logout to fail and session to remain active.,,,,,,,
6630,awx,https://github.com/ansible/awx/issues/6630,"Session, Token, and Account Lifecycle Management Errors",Refresh tokens do not expire as configured causing token lifecycle management to fail.,,,,,,,
7063,awx,https://github.com/ansible/awx/issues/7063,Job Execution and Workflow Configuration Defects,API ignores the all_parents_must_converge field when creating a workflow node resulting in incorrect workflow configuration.,,,,,,,
7191,awx,https://github.com/ansible/awx/issues/7191,Middleware Integration Failures in REST APIs,AWX fails to retrieve a credential from Conjur due to incorrect URL encoding in the REST API integration.,,,,,,,
7243,awx,https://github.com/ansible/awx/issues/7243,Authentication and Token Management Errors,Unauthenticated GET request returns 500 instead of expected 401 indicating improper authentication error handling.,,,,,,,
7264,awx,https://github.com/ansible/awx/issues/7264,Middleware Integration Failures in REST APIs,Mattermost notification fails because the AWX REST API sends a multipart payload that Mattermost cannot decode resulting in a 400 error.,,,,,,,
7665,awx,https://github.com/ansible/awx/issues/7665,Schema and Payload Validation Errors in POST APIs,The API accepts a PATCH with an invalid field modification for non-manual projects but does not return an error indicating improper schema validation.,,,,,,,
7798,awx,https://github.com/ansible/awx/issues/7798,Job Execution and Workflow Configuration Defects,The API exports workflow job templates referencing inventories by numeric id instead of natural key causing incorrect associations when importing workflows between AWX/Tower instances.,,,,,,,
8202,awx,https://github.com/ansible/awx/issues/8202,Job Execution and Workflow Configuration Defects,Changing the machine credential in a job template causes the API to reject the launch with a 400 error due to missing vault password requirements.,,,,,,,
8305,awx,https://github.com/ansible/awx/issues/8305,Job Execution and Workflow Configuration Defects,Deleting a workflow approval via the API results in a 500 error due to a backend workflow handling issue after the approval step is completed.,,,,,,,
8641,awx,https://github.com/ansible/awx/issues/8641,Job Execution and Workflow Configuration Defects,The schedule for a job template cannot be disabled via the API when its project or inventory is missing causing failed jobs to continue running.,,,,,,,
8777,awx,https://github.com/ansible/awx/issues/8777,Job Execution and Workflow Configuration Defects,Workflow approval fails because the API endpoint for success_nodes does not exist in the workflow_approval_templates configuration.,,,,,,,
8838,awx,https://github.com/ansible/awx/issues/8838,Job Execution and Workflow Configuration Defects,Delete action on inventory update job incorrectly targets the inventory endpoint instead of the update resource.,,,,,,,
9222,awx,https://github.com/ansible/awx/issues/9222,Query Filter and Search Parameter Handling Errors,API returns a 500 error when an unsupported query parameter modifier is used instead of a proper 4xx error.,,,,,,,
9441,awx,https://github.com/ansible/awx/issues/9441,Query Filter and Search Parameter Handling Errors,Advanced search by type fails with 400 because ExecutionEnvironment does not have a type field.,,,,,,,
9472,awx,https://github.com/ansible/awx/issues/9472,Environment-Specific Behavior and Configuration Bugs,The API returns an incorrectly formatted ansible_version field when ansible-core is installed due to changes in the ansible --version output specific to that environment.,,,,,,,
9772,awx,https://github.com/ansible/awx/issues/9772,Query Filter and Search Parameter Handling Errors,The paginator generates a request with an invalid page parameter value of 0 causing an unhandled 404 error.,,,,,,,
10008,awx,https://github.com/ansible/awx/issues/10008,Job Execution and Workflow Configuration Defects,The module fails to correctly pass job tags to the API causing all tasks to execute instead of only those with the specified tags.,,,,,,,
10383,awx,https://github.com/ansible/awx/issues/10383,"Session, Token, and Account Lifecycle Management Errors",Logout triggers unexpected config API requests resulting in 400 errors indicating a problem in the session termination workflow.,,,,,,,
10681,awx,https://github.com/ansible/awx/issues/10681,Environment-Specific Behavior and Configuration Bugs,API strings are not compiled and thus not translated in the UI due to missing build steps in the development environment configuration.,,,,,,,
10879,awx,https://github.com/ansible/awx/issues/10879,Environment-Specific Behavior and Configuration Bugs,Enabling Social Auth Organization and Team Mapping in a specific AWX configuration causes login failures and database errors that do not occur with default settings.,,,,,,,
11017,awx,https://github.com/ansible/awx/issues/11017,Query Filter and Search Parameter Handling Errors,API returns an error when filtering hosts using ansible_facts fields indicating unsupported or improperly handled query parameters.,,,,,,,
11130,awx,https://github.com/ansible/awx/issues/11130,Schema and Payload Validation Errors in POST APIs,API allows modification of restricted fields in the controlplane group without proper validation resulting in unintended changes.,,,,,,,
11523,awx,https://github.com/ansible/awx/issues/11523,Environment-Specific Behavior and Configuration Bugs,"The /api/v2/ping endpoint returns outdated ""heartbeat"" values due to changes in how instance health fields are mapped in newer platform versions.",,,,,,,
11622,awx,https://github.com/ansible/awx/issues/11622,Schema and Payload Validation Errors in POST APIs,The API allows modification of hop node instance fields that should not be editable indicating missing or incorrect validation of PATCH/PUT payloads for these resources.,,,,,,,
13120,awx,https://github.com/ansible/awx/issues/13120,Environment-Specific Behavior and Configuration Bugs,Conjur Cloud requires a specific URL path structure that is not handled correctly by the plugin causing API requests to fail only in this environment.,,,,,,,
13429,awx,https://github.com/ansible/awx/issues/13429,Environment-Specific Behavior and Configuration Bugs,After upgrading AWX and with a specific LDAP organization map configuration the API incorrectly removes admin roles despite remove_admins being set to false.,,,,,,,
13439,awx,https://github.com/ansible/awx/issues/13439,Authentication and Token Management Errors,The plugin fails to authenticate with Conjur OSS due to a mismatch in the expected API endpoint structure resulting in a 401 Unauthorized error.,,,,,,,
13597,awx,https://github.com/ansible/awx/issues/13597,Schema and Payload Validation Errors in POST APIs,API allows creation of a credential without the required webservice_id input leading to a runtime KeyError instead of validating or defaulting the field during payload processing.,,,,,,,
5,catwatch,https://github.com/zalando-incubator/catwatch/issues/5,Query Filter and Search Parameter Handling Errors,Only the first page of repositories is fetched because pagination parameters are not handled correctly in the API call.,,,,,,,
3468,cgm-remote-monitor,https://github.com/nightscout/cgm-remote-monitor/issues/3468,Schema and Payload Validation Errors in POST APIs,The API accepts treatment records with invalid ID formats indicating a lack of proper schema validation on POST requests.,,,,,,,
5347,cgm-remote-monitor,https://github.com/nightscout/cgm-remote-monitor/issues/5347,Authentication and Token Management Errors,Alexa cannot access the Nightscout API when authentication roles are enabled even with a valid token in the endpoint URL.,,,,,,,
6843,cgm-remote-monitor,https://github.com/nightscout/cgm-remote-monitor/issues/6843,Schema and Payload Validation Errors in POST APIs,The crash is caused by the server not validating the presence of expected fields in the incoming WebSocket message payload.,,,,,,,
7910,cgm-remote-monitor,https://github.com/nightscout/cgm-remote-monitor/issues/7910,Environment-Specific Behavior and Configuration Bugs,API v1/entries returns stale data only on NS version 15.0 and DEV branch indicating a behavior change under specific environment or configuration.,,,,,,,
33,cwa-verification-server,https://github.com/corona-warn-app/cwa-verification-server/issues/33,Schema and Payload Validation Errors in POST APIs,Many POST endpoints do not validate the request body structure which leads to NullPointerExceptions when required JSON fields are missing.,,,,,,,
55,cwa-verification-server,https://github.com/corona-warn-app/cwa-verification-server/issues/55,Container and Resource Quota Handling Errors,The server fails to enforce request size limits allowing memory exhaustion and CPU overload due to unbounded resource usage.,,,,,,,
37,digdag,https://github.com/treasure-data/digdag/issues/37,Job Execution and Workflow Configuration Defects,The workflow fails with a 400 error because the required 'cron' parameter is missing in the configuration.,,,,,,,
658,digdag,https://github.com/treasure-data/digdag/issues/658,Authentication and Token Management Errors,Task log access fails with a 401 Unauthorized error when HTTP Basic Authentication is enforced through a proxy.,,,,,,,
5,djoser,https://github.com/sunscrapers/djoser/issues/5,Runtime and Dependency Errors,The error is caused by a change in the Django REST Framework version which affects how serializer classes are handled in views.,,,,,,,
42,djoser,https://github.com/sunscrapers/djoser/issues/42,Schema and Payload Validation Errors in POST APIs,The set_username endpoint does not properly validate the username field because required validators are not added to the serializer field.,,,,,,,
120,djoser,https://github.com/sunscrapers/djoser/issues/120,"Session, Token, and Account Lifecycle Management Errors",Activation token becomes invalid after user login due to token generation logic tied to user session state.,,,,,,,
190,djoser,https://github.com/sunscrapers/djoser/issues/190,Schema and Payload Validation Errors in POST APIs,The issue arises because simultaneous POST requests bypass unique constraint validation leading to database IntegrityError and 500 response.,,,,,,,
323,djoser,https://github.com/sunscrapers/djoser/issues/323,Runtime and Dependency Errors,The error occurs because the UserView class is missing a required queryset attribute or get_queryset method which is a runtime configuration issue in the API view.,,,,,,,
327,djoser,https://github.com/sunscrapers/djoser/issues/327,Database/Table User Access Handling Errors,Non-administrative users receive a 403 error when attempting to access other users due to overly restrictive access control changes.,,,,,,,
374,djoser,https://github.com/sunscrapers/djoser/issues/374,Authentication and Token Management Errors,The /auth/jwt/verify endpoint returns a 401 unauthorized error instead of the expected 400 indicating an issue with token verification handling.,,,,,,,
413,djoser,https://github.com/sunscrapers/djoser/issues/413,Schema and Payload Validation Errors in POST APIs,Serializer attempts to access a non-existent re_password field on the User model indicating a mismatch between the API payload schema and the model.,,,,,,,
417,djoser,https://github.com/sunscrapers/djoser/issues/417,"Session, Token, and Account Lifecycle Management Errors",User account deletion permissions and serializer settings are not respected causing incorrect handling of the account deletion workflow.,,,,,,,
430,djoser,https://github.com/sunscrapers/djoser/issues/430,"Session, Token, and Account Lifecycle Management Errors",The issue concerns incorrect user activation workflow after email update which is part of account lifecycle management.,,,,,,,
23179,dolibarr,https://github.com/Dolibarr/dolibarr/issues/23179,Schema and Payload Validation Errors in POST APIs,The /products/{id} REST API does not update the note_public and note_private fields indicating a failure to process or validate the payload for these properties.,,,,,,,
23345,dolibarr,https://github.com/Dolibarr/dolibarr/issues/23345,Environment-Specific Behavior and Configuration Bugs,API response exposes internal database connection details in the returned JSON which is a security issue specific to the current environment and configuration.,,,,,,,
23415,dolibarr,https://github.com/Dolibarr/dolibarr/issues/23415,Schema and Payload Validation Errors in POST APIs,The API allows invalid or missing values for the 'ref' field when creating or updating a BOM which indicates improper validation of required fields in the payload.,,,,,,,
23790,dolibarr,https://github.com/Dolibarr/dolibarr/issues/23790,Schema and Payload Validation Errors in POST APIs,The API fails with internal server error when specific fields in the payload are set or linked incorrectly such as using objectId instead of MoLine and mishandling arraytoconsume and arraytoproduce.,,,,,,,
24661,dolibarr,https://github.com/Dolibarr/dolibarr/issues/24661,Schema and Payload Validation Errors in POST APIs,The API response schema changed in version 17 removing contract line date fields that were previously present in version 16.,,,,,,,
24780,dolibarr,https://github.com/Dolibarr/dolibarr/issues/24780,Environment-Specific Behavior and Configuration Bugs,Serialization error occurs after upgrading Dolibarr PHP and PostgreSQL versions indicating the bug is triggered by specific environment changes.,,,,,,,
25929,dolibarr,https://github.com/Dolibarr/dolibarr/issues/25929,Query Filter and Search Parameter Handling Errors,The API throws an exception when the endpoint is called without a SQL filter parameter due to an undefined variable.,,,,,,,
26066,dolibarr,https://github.com/Dolibarr/dolibarr/issues/26066,Authentication and Token Management Errors,GET /multicurrencies endpoint fails to enforce proper authorization checks allowing unauthorized users to access currency data.,,,,,,,
26307,dolibarr,https://github.com/Dolibarr/dolibarr/issues/26307,Environment-Specific Behavior and Configuration Bugs,API fails with a 500 error due to an undeclared property in PHP 8.1 environment which requires explicit variable declarations.,,,,,,,
26881,dolibarr,https://github.com/Dolibarr/dolibarr/issues/26881,Job Execution and Workflow Configuration Defects,The API endpoint is misconfigured in the code causing the setlevelprice operation to fail due to incorrect URL mapping.,,,,,,,
29115,dolibarr,https://github.com/Dolibarr/dolibarr/issues/29115,Environment-Specific Behavior and Configuration Bugs,Extra fields with and without default values behave inconsistently when updated via the API indicating environment or configuration-dependent behavior.,,,,,,,
29292,dolibarr,https://github.com/Dolibarr/dolibarr/issues/29292,Query Filter and Search Parameter Handling Errors,The issue is caused by the colon character in the sqlfilters query parameter leading to incorrect or unexpected search results.,,,,,,,
29372,dolibarr,https://github.com/Dolibarr/dolibarr/issues/29372,Database/Table User Access Handling Errors,User without proper permissions can access restricted monthly statement data via direct URI indicating a failure in enforcing database-level access controls.,,,,,,,
29421,dolibarr,https://github.com/Dolibarr/dolibarr/issues/29421,Schema and Payload Validation Errors in POST APIs,The GET /members/types/{id} endpoint incorrectly returns a deletion message in its payload which is a schema and response validation issue for a GET API.,,,,,,,
29424,dolibarr,https://github.com/Dolibarr/dolibarr/issues/29424,Query Filter and Search Parameter Handling Errors,API does not return an error when querying member categories for a non-existing member id leading to incorrect handling of query parameters.,,,,,,,
29439,dolibarr,https://github.com/Dolibarr/dolibarr/issues/29439,Query Filter and Search Parameter Handling Errors,The issue is caused by incorrect SQL WHERE clause using LIKE which returns unintended results for query parameters leading to inconsistent API responses.,,,,,,,
29594,dolibarr,https://github.com/Dolibarr/dolibarr/issues/29594,Middleware Integration Failures in REST APIs,"The REST API PUT /contacts/{id} endpoint bypasses business logic triggers during updates while the UI and other endpoints do not, causing inconsistent integration behavior.",,,,,,,
30161,dolibarr,https://github.com/Dolibarr/dolibarr/issues/30161,Query Filter and Search Parameter Handling Errors,The API endpoints ignore provided ref or track_id parameters and always return a specimen ticket due to incorrect conditional logic in parameter handling.,,,,,,,
30432,dolibarr,https://github.com/Dolibarr/dolibarr/issues/30432,Environment-Specific Behavior and Configuration Bugs,API does not allow updating client_code even when Dolibarr is configured to permit custom codes via the Leopard Module.,,,,,,,
30950,dolibarr,https://github.com/Dolibarr/dolibarr/issues/30950,Job Execution and Workflow Configuration Defects,Creating a supplier invoice via the API from a template results in an incorrect reference suffix indicating a workflow or template misconfiguration.,,,,,,,
31015,dolibarr,https://github.com/Dolibarr/dolibarr/issues/31015,Schema and Payload Validation Errors in POST APIs,The API rejects the POST request due to an invalid or missing datetime value in the payload causing a 400 Bad Request error.,,,,,,,
31369,dolibarr,https://github.com/Dolibarr/dolibarr/issues/31369,Schema and Payload Validation Errors in POST APIs,The API ignores the provided date_solde field in the POST payload and always sets it to the current time instead of using the client-supplied value.,,,,,,,
31677,dolibarr,https://github.com/Dolibarr/dolibarr/issues/31677,Schema and Payload Validation Errors in POST APIs,API is missing support for the DefaultWorkstationId field resulting in incomplete or invalid payload handling for BomLine.,,,,,,,
32072,dolibarr,https://github.com/Dolibarr/dolibarr/issues/32072,Middleware Integration Failures in REST APIs,The PUT /shipments/{id} endpoint does not update extra fields in array_options due to missing handling in the API implementation compared to the products API.,,,,,,,
32096,dolibarr,https://github.com/Dolibarr/dolibarr/issues/32096,Query Filter and Search Parameter Handling Errors,The linkedObjectsIds field is null when using a search query but is populated when fetching by ID indicating inconsistent handling of search parameters in the API.,,,,,,,
32111,dolibarr,https://github.com/Dolibarr/dolibarr/issues/32111,Schema and Payload Validation Errors in POST APIs,The API rejects a valid date string input for the payment date field due to inconsistent expectations between string and timestamp formats.,,,,,,,
32145,dolibarr,https://github.com/Dolibarr/dolibarr/issues/32145,Schema and Payload Validation Errors in POST APIs,"The issue is caused by incorrect evaluation of the ""private_message"" POST parameter value leading to unintended status changes.",,,,,,,
33689,dolibarr,https://github.com/Dolibarr/dolibarr/issues/33689,Schema and Payload Validation Errors in POST APIs,The issue is caused by a change in the validation logic for POST requests in the supplierorders API which breaks the ability to import order lines.,,,,,,,
33949,dolibarr,https://github.com/Dolibarr/dolibarr/issues/33949,Schema and Payload Validation Errors in POST APIs,The API accepts a PUT request to update the extrafield's default value but fails to persist or return the updated value indicating a payload handling or schema update issue.,,,,,,,
2826,DSpace,https://github.com/DSpace/DSpace/issues/2826,Schema and Payload Validation Errors in POST APIs,The API ignores the 'name' field in the POST payload and returns null indicating improper handling or validation of input fields.,,,,,,,
2962,DSpace,https://github.com/DSpace/DSpace/issues/2962,Environment-Specific Behavior and Configuration Bugs,CORS policy error occurs when accessing the API from a different origin indicating a configuration issue specific to the deployment environment.,,,,,,,
3032,DSpace,https://github.com/DSpace/DSpace/issues/3032,Query Filter and Search Parameter Handling Errors,Pagination parameters in the byMetadata search endpoint return an incorrect number of results for pages after the first.,,,,,,,
3090,DSpace,https://github.com/DSpace/DSpace/issues/3090,Database/Table User Access Handling Errors,The issue is caused by endpoint access control preventing users without read rights from retrieving file format metadata.,,,,,,,
3110,DSpace,https://github.com/DSpace/DSpace/issues/3110,Environment-Specific Behavior and Configuration Bugs,The API fails when the server URL is configured with an explicit default port which is a valid but uncommon environment-specific configuration.,,,,,,,
3130,DSpace,https://github.com/DSpace/DSpace/issues/3130,Database/Table User Access Handling Errors,The group2groupcache table is not updated via REST endpoints causing users to lack expected access rights due to missing group membership propagation.,,,,,,,
3184,DSpace,https://github.com/DSpace/DSpace/issues/3184,Query Filter and Search Parameter Handling Errors,Search with query parameter in workflow configuration returns no results even when matching items exist.,,,,,,,
3185,DSpace,https://github.com/DSpace/DSpace/issues/3185,Query Filter and Search Parameter Handling Errors,The discover/facets/{facet} endpoint omits the authority key in facet results which leads to incomplete or unexpected search response data.,,,,,,,
3207,DSpace,https://github.com/DSpace/DSpace/issues/3207,Authentication and Token Management Errors,LDAP authentication fails due to missing configuration option causing an exception during login.,,,,,,,
7946,DSpace,https://github.com/DSpace/DSpace/issues/7946,Query Filter and Search Parameter Handling Errors,The API returns HTTP 500 when querying metadata fields without qualifiers indicating incorrect handling of query parameters for these cases.,,,,,,,
7992,DSpace,https://github.com/DSpace/DSpace/issues/7992,Job Execution and Workflow Configuration Defects,The REST API incorrectly exposes script option types causing unintuitive configuration and forcing manual type changes for script parameters.,,,,,,,
8023,DSpace,https://github.com/DSpace/DSpace/issues/8023,Volume and File Upload/Access Errors,Non-latin characters are lost in downloaded filenames due to improper encoding in the Content-Disposition header during file access.,,,,,,,
8494,DSpace,https://github.com/DSpace/DSpace/issues/8494,Volume and File Upload/Access Errors,Deleting the last bitstream via the REST API leaves empty bundles which causes broken file references in the UI.,,,,,,,
8732,DSpace,https://github.com/DSpace/DSpace/issues/8732,Query Filter and Search Parameter Handling Errors,The issue is caused by the default filter being incorrectly applied during DOI registration despite the expectation that it should be bypassed.,,,,,,,
8765,DSpace,https://github.com/DSpace/DSpace/issues/8765,Environment-Specific Behavior and Configuration Bugs,Reset password fails with 403 Forbidden only when Google Recaptcha is enabled indicating a configuration-specific backend issue.,,,,,,,
8792,DSpace,https://github.com/DSpace/DSpace/issues/8792,Query Filter and Search Parameter Handling Errors,The export fails because a very long search query parameter exceeds the database column limit causing process creation to fail.,,,,,,,
8888,DSpace,https://github.com/DSpace/DSpace/issues/8888,Authentication and Token Management Errors,Shibboleth login fails with a 401 error when a search query with spaces is present in the GET request.,,,,,,,
9667,DSpace,https://github.com/DSpace/DSpace/issues/9667,Environment-Specific Behavior and Configuration Bugs,The request-a-copy link generation fails when DSpace is configured with a subpath which is an environment-specific configuration.,,,,,,,
10053,DSpace,https://github.com/DSpace/DSpace/issues/10053,Schema and Payload Validation Errors in POST APIs,"The issue describes failures in processing notifications due to missing or incorrectly formatted properties in the API payloads such as actor, coar-type, and context.",,,,,,,
7,elassandra,https://github.com/strapdata/elassandra/issues/7,Environment-Specific Behavior and Configuration Bugs,Build number placeholder is not replaced in the API response indicating a configuration or build environment issue.,,,,,,,
65,elassandra,https://github.com/strapdata/elassandra/issues/65,Schema and Payload Validation Errors in POST APIs,API requests fail because the payload contains a field name from which is a reserved keyword causing schema validation errors.,,,,,,,
68,elassandra,https://github.com/strapdata/elassandra/issues/68,Environment-Specific Behavior and Configuration Bugs,Elassandra returns object fields as strings in search results while stock Elasticsearch returns them as JSON objects indicating environment-specific behavior differences.,,,,,,,
70,elassandra,https://github.com/strapdata/elassandra/issues/70,Database/Table User Access Handling Errors,The error message indicates that the DELETE operation fails because the expected table for the time-series index does not exist in the database.,,,,,,,
163,elassandra,https://github.com/strapdata/elassandra/issues/163,Schema and Payload Validation Errors in POST APIs,The issue arises from incorrect mapping of the Cassandra date type to Elasticsearch date type resulting in an invalid or offset date value in the API response.,,,,,,,
282,elassandra,https://github.com/strapdata/elassandra/issues/282,Index and Cluster Coordination Failures,The error arises from a type mismatch between the existing Cassandra column and the expected Elasticsearch mapping for geo_shape which is a classic index coordination issue.,,,,,,,
295,elassandra,https://github.com/strapdata/elassandra/issues/295,Schema and Payload Validation Errors in POST APIs,Fields with dots in their names are silently ignored during document creation indicating a failure to properly validate or handle the request payload schema.,,,,,,,
298,elassandra,https://github.com/strapdata/elassandra/issues/298,Environment-Specific Behavior and Configuration Bugs,After installing elassandra the API returns build_hash and build_date as Unknown indicating a configuration or environment-specific issue affecting metadata reporting.,,,,,,,
323,elassandra,https://github.com/strapdata/elassandra/issues/323,Schema and Payload Validation Errors in POST APIs,Elassandra returns a 500 error when a string is submitted for an integer field with coercion enabled indicating a failure to properly handle or validate the request payload according to the mapping schema.,,,,,,,
346,elassandra,https://github.com/strapdata/elassandra/issues/346,Query Filter and Search Parameter Handling Errors,"Inner hits query on nested objects causes a failure with ""extracted source isn't an object or an array"" indicating the query structure or parameter handling is not processed as expected in the newer Elassandra version.",,,,,,,
117680,elasticsearch,https://github.com/elastic/elasticsearch/issues/117680,Query Filter and Search Parameter Handling Errors,date_parse function in ES|QL does not correctly handle the timezone offset in the query resulting in an incorrect timestamp.,,,,,,,
118320,elasticsearch,https://github.com/elastic/elasticsearch/issues/118320,Middleware Integration Failures in REST APIs,The issue concerns incorrect HTTP response codes when the REST API acts as a gateway to the cluster and receives invalid responses from backend nodes.,,,,,,,
121443,elasticsearch,https://github.com/elastic/elasticsearch/issues/121443,Volume and File Upload/Access Errors,The _analyze API returns a 5xx error when a required hunspell dictionary file is missing indicating a file access issue.,,,,,,,
