issue_url,patched_file_types,text_for_topic_modeling,topic
https://github.com/flowable/flowable-engine/issues/510," source-file,source-file , source-file ",content rest api flowable task multipartresolver bean defined trying use content api upload content engine flowable task app post content service content items sent valid multipart form data http browser however server converted multipartresolver controller flowable rest content service api content contentitemcollectionresource createcontentitem httpservletrequest httpservletresponse response instead body treated json parsing fails means cannot upload resource content api multipartresolver bean defined flowable task spring context flowable task conf multipartresolver defined basedispatcherservletconfiguration contentdispatcherservletconfiguration inherit process api processdispatcherservletconfiguration form dmn apis also configuration dmndispatcherservletconfiguration formdispatcherservletconfiguration potentially similar tested workaround multipartresolver bean content apis spring context adding component scanned path flowable,-1
https://github.com/flowable/flowable-engine/issues/3827," config-file ,test-file , source-file , config-file, test-file ",unexpected result querying process instances flowable describe bug found could bug recent historyservice query process instances instead query criteria working well expected behavior opinion passing query two criteria createdafter yesterday always true processinstanceid nonexistent always false expect count expect search look criteria criteria deployment resources processes simple process bpmn xml fun counts returns filtering unknown process instance define filter val yesterday offsetdatetime minusdays todate val tasksquery historyservice createhistorictaskinstancequery tasksquery taskcreatedafter yesterday tasksquery processinstanceid nonexistent create instance runtimeservice startprocessinstancebykey simple process count instances match filter val total tasksquery count instances expected match nonexistent assertequals total looking logs sql generated follows select count distinct res act taskinst res res proc inst res start time sql follows select count distinct res act taskinst res res proc inst res start time notice looking diff https github flowable flowable engine compare flowable flowable see historictaskinstance xml https github flowable flowable engine blame aecece ecdaa modules flowable task service resources flowable task service mapping entity historictaskinstance xml https github flowable flowable engine dca bde might related replaced additional context flowable spring boot,11
https://github.com/flowable/flowable-engine/issues/1626," source-file,source-file ",flowable admin terminate bpmn process instance longer work flowable admin longer possible terminate running bpmn process instance working previous versions far remember http localhost flowable admin process instance process instance screen click terminate process instance action pop click terminate process instance pop closes instance still running open firefox developer tools see following exported curl format send curl http localhost flowable admin app rest admin process instances edd user agent mozilla windows win gecko firefox accept application json text plain accept language compressed referer http localhost flowable admin content type application json charset utf connection keep alive cookie jsessionid flowable remember tgjvcgnsqlhzqzvxrthxc uen qsuzrcuzrdpyvdfrqvvzawtnsgjsegrtvfryvxr jtnejtne dnt data http following body retured message action missing body given action supported messagekey general bad looking flowable admin noticed empty json body send post replay correct body action terminate instance terminated,-1
https://github.com/flowable/flowable-engine/issues/1479," source-file,source-file ",tenant attribute returned rest api identity users created user tenantid post rest api call localhost flowable rest service identity users body user firstname user lastname displayname user email user example tenantid tenant password something get call localhost flowable rest service identity users user doesnot return tenantid response user firstname user lastname displayname user url http localhost flowable rest service identity users user email user example pictureurl null image https user images githubusercontent fed png per swagger documentation get following data testuser firstname fred lastname smith displayname fred smith url http localhost identity users testuser email reply flowable tenantid companytenantid pictureurl http localhost identity users testuser picture password string total start sort string order string size,2
https://github.com/flowable/flowable-engine/issues/1511," config-file , config-file, test-file ,test-file ",tenant returned flowables rest api specify either includeprocessvariables includetasklocalvariables querying tasks response contain tenant associated task always contains empty string omit query params set false works fine tenant correctly set happens get runtime tasks post query tasks digging found sql queries fired database different want include variables looks like one example selecttaskswithrelatedentitiesbyquerycriteria including tenant column expected behavior david lamas,-1
https://github.com/flowable/flowable-engine/issues/1437,"documentation-file , documentation-file , source-file, source-file ",unsupported variable query operation equals flowable rest war post query historic process instances parameters like variables name applyuserid operation equals value type string variableoperation equals respose message bad exception unsupported variable query operation equals,-1
https://github.com/elastic/elasticsearch/issues/123729," config-file , documentation-file , test-file, source-file ,documentation-file , test-file ",index creation requests return analyzer dictionary missing installed plugins bundled description attempting create index analyzer references dictionary present system return bad steps reproduce create index hunspell analyzer referencing locale logs relevant response,10
https://github.com/elastic/elasticsearch/issues/126709," test-file , test-file,source-file , source-file ",ingesting documents amazon bedrock inference fails invalid value ingest received serverless installed plugins response bundled serverless description ingesting semantic text content amazon titan returning inference failures digging might causing potentially combination https github elastic blame pack plugin inference xpack inference action filter shardbulkinferenceactionfilter months ago hardcoded inputtype ingest chunked inference combined logic https github elastic blame pack plugin inference xpack inference services amazonbedrock amazonbedrockservice added last month steps reproduce perform following requests amazon bedrock credentials amazon titan embed text put inference text embedding bedrock embeddings service amazonbedrock service settings access key secret key provider amazontitan model amazon titan embed text region east put index mappings properties semantic field type semantic text inference bedrock embeddings put index semantic field jedi yoda said ingest return following inference root cause type validation exception reason validation failed invalid value ingest received input type allowed provider amazontitan type validation exception reason validation failed invalid value ingest received input type allowed provider amazontitan status following script verified work failing serverless logs relevant response,-1
https://github.com/elastic/elasticsearch/issues/121913," documentation-file , source-file , test-file , source-file,other-file ",transform delete api fails destination index writes alias transform writes alias calling delete api delete dest index throws illegalargumentexception python badrequesterror badrequesterror illegal argument exception provided expression dice rolls write matches alias specify corresponding concrete indices instead python import import datetime import datetime timezone import numpy import time initialize client url getenv url http localhost user getenv username elastic password getenv password password hosts url basic auth user password verify certs false ssl show warn false cluster put settings flat settings true body transient logger xpack transform transforms index random dice dest index dice rolls dest index alias dice rolls write transform dice rolls print loading first value index print index index index document value random randint time datetime timezone utc print creating index alias print indices create index dest index print indices aliases actions index dest index alias dest index alias print creating transform transform put transform transform transform index index dest index dest index alias pivot group dice value terms field value missing bucket true aggregations occurrences value count field value frequency sync time field time delay print starting transform print transform start transform transform transform print stopping transform print transform stop transform transform transform wait completion true print deleting transform print transform delete transform transform transform delete dest index true,10
https://github.com/elastic/elasticsearch/issues/121443," config-file ,test-file , documentation-file , source-file , other-file , test-file , source-file",calling analyze api dictionary files missing installed plugins response bundled description calling analyze api possible explore see things work various dictionary files however dictionary completely missing api throws analyzers depend user provided dictionaries return example hunspell dictionary missing needs provided admin cluster steps reproduce get analyze tokenizer standard filter type hunspell locale text knife foxes jumping quickly knives logs relevant root cause type illegal state exception reason failed load hunspell dictionary locale type illegal state exception reason failed load hunspell dictionary locale caused type exception reason could find hunspell dictionary status full transport remotetransportexception search xtvz indices admin analyze ncaused lang illegalstateexception failed load hunspell dictionary locale server indices analysis hunspellservice lambda new hunspellservice base util concurrent concurrenthashmap computeifabsent concurrenthashmap server indices analysis hunspellservice getdictionary hunspellservice server index analysis hunspelltokenfilterfactory init hunspelltokenfilterfactory server indices analysis analysismodule lambda setuptokenfilters analysismodule server plugins analysisplugin get analysisplugin server index analysis analysisregistry getcomponentfactory analysisregistry server index analysis analysisregistry buildcustomanalyzer analysisregistry server action admin indices analyze transportanalyzeaction buildcustomanalyzer transportanalyzeaction server action admin indices analyze transportanalyzeaction analyze transportanalyzeaction server action admin indices analyze transportanalyzeaction shardoperation transportanalyzeaction server action admin indices analyze transportanalyzeaction shardoperation transportanalyzeaction server action single shard transportsingleshardaction lambda asyncshardoperation transportsingleshardaction server action actionrunnable accept actionrunnable server action actionrunnable accept actionrunnable server action actionrunnable dorun actionrunnable server common util concurrent threadcontext contextpreservingabstractrunnable dorun threadcontext server common util concurrent abstractrunnable abstractrunnable base util concurrent threadpoolexecutor runworker threadpoolexecutor base util concurrent threadpoolexecutor worker threadpoolexecutor base lang thread thread ncaused elasticsearchexception could find hunspell dictionary server indices analysis hunspellservice loaddictionary hunspellservice server indices analysis hunspellservice lambda new hunspellservice,10
https://github.com/elastic/elasticsearch/issues/126156," documentation-file , test-file,source-file , source-file , test-file ",bedrock cohere inputtype truncate currently returns put inference text embedding multilingual cohere search service amazonbedrock service settings access key secret key region east provider cohere model cohere embed multilingual task settings truncate start post inference text embedding multilingual cohere search input sky port color television tuned dead channel input type search though aws supports https docs aws amazon bedrock latest userguide model parameters embed html,-1
https://github.com/elastic/elasticsearch/issues/123661," documentation-file , source-file ,documentation-file , test-file , source-file",malformed createindexrequest return installed plugins response bundled description attempting create index possible get server casting failures verify values return bad steps reproduce put bad aliases aliases bad alias logs relevant response,10
https://github.com/r-spacex/SpaceX-API/issues/398," documentation-file,source-file ",launchpad landpad status field model returned launchpads endpoint contains status field defined enum https github spacex spacex api blob docs launchpads schema status type string enum active inactive unknown retired lost construction required true model returned landpads endpoint also similar one schema defined plain string https github spacex spacex api blob docs landpads schema status type string default null second one exactly first one saw comparing data endpoints field exactly meaning values,2
https://github.com/r-spacex/SpaceX-API/issues/858,source-file,post launches query hey getting cannot read property replace undefined every post api spacexdata launches query contains populate option yesterday everything worked fine suppose cause lies last commits please take look,2
https://github.com/r-spacex/SpaceX-API/issues/856," source-file,source-file ",cannot post query upcoming launches posting data url https api spacexdata launches query data query upcoming true options limit select name date local flight number details links date precision sort flight number asc populate path launchpad select name full name path rocket select name getting response cannot read property map undefined working hours raised plz solve fast possible,2
https://github.com/r-spacex/SpaceX-API/issues/36," source-file,source-file ",core cap issues sorry issues reported one two parts fetching cap core single part example https api spacexdata parts cores return array single object also wiki entry cap endpoints incorrect lists url https api spacexdata parts caps https api spacexdata parts caps first url produces,2
https://github.com/r-spacex/SpaceX-API/issues/408," source-file,source-file , source-file ",inconsistency docs api documentation states every endpoint returns single object non existing database return found seems api returns bad bug typo docs personally think would logical descriptive generic https api spacexdata dragons api returns found text image https user images githubusercontent dab png,2
https://github.com/DSpace/DSpace/issues/8494," source-file,source-file ",deleting bitstreams via rest api leaves empty bundles deleting last bitstreams bundle via rest api dspace including demo dspace either delete items item bitstreams bitstream delete bitstreams bitstream endpoints leaves bundle link bundle item results empty bundle item bitstreams mostly harmless causes xmlui show broken thumbnail reproduce bug bitstream bundle delete rest api item bitstreams bundle must deleted bash curl delete domain rest bitstreams bitstream cookie jsessionid jsessionid behavior confirmed either looking item bundle table database show bundle still xmlui bitstreams edit form deleting last original bitstream xmlui edit bitstreams form img width alt screen shot https user images githubusercontent ddc png deleting last thumbnail bitstream xmlui edit bitstreams form img width alt screen shot https user images githubusercontent baea png deleting last thumbnail bitstream xmlui item view img width alt screen shot https user images githubusercontent bdc png suggested delete bundle remaining bitstreams https github dspace dspace,3
https://github.com/DSpace/DSpace/issues/3130,"test-file , source-file, source-file ",group group cache updated rest endpoint describe bug dspace app rest grouprestcontroller call method group service responsible things rethink group cache imply user member childgroup added children parentgroup subsequent calls groupservice allmembergroups context eperson would fail get parentgroup reproduce steps reproduce behavior login admin create children group children group member collection community admin group normal user children group login user verify user seen administrator community collection indirect member admin group alternatively check content group groupcache table bugs also invalidate several scenario related security discovery workflow involved user get rights tasks due membership sub group expected behavior group groupcache table updated group added removed member another group via rest endpoints,7
https://github.com/DSpace/DSpace/issues/3110,"source-file , source-file , other-file , test-file , source-file",poor url matching causes improper failure confusing message bad rendering initial page server side underlying made sense lang illegalargumentexception supplied uri valid http wood server api core sites string valid http uri fetching curl succeeds traced way uris validated dspace app rest utils utils getbaseobjectrestfromuri revealed configured dspace server url explicit port useless protocol http incorrect failure incorrect surprising time consuming understand ultimate cause failure getbaseobjectrestfromuri compares urls strings rather serializations complex structured objects urls suggest discover whether url prefix url one must compare protocol host port path separately reproduce steps reproduce behavior configure dspace server url explicitly default port protocol start front end back end browse front end expected behavior example url http example foo recognized prefix http example foo bar,-1
https://github.com/DSpace/DSpace/issues/7992," test-file , test-file,source-file , source-file ",scripts processes bug rest scripts processes take account hasarg value configured script options instead rest api exposes option type believe angular use option type force argument depending type type string default type argument forced consequence argument needs provided type needs changed boolean done https github dspace dspace blob dspace api dspace app bulkedit metadataimportscriptconfiguration unintuitive adding configuration new scripts bug noticed review harvest script https github dspace dspace angular pullrequestreview expected behavior ideally converter set type boolean type provided argument provided parameter instead set type manually every parameter related work noticed reviewing control collection harvest https github dspace dspace angular,5
https://github.com/DSpace/DSpace/issues/3184,config-file,workflow discovery configuration query query parameter set free text returns results describe bug discovery search configuration param set workflow query param return result reproduce steps reproduce behavior login dspace demo mydspace select tasks enter query string search input box title item appears among tasks search return results search made rest api logged user calling server api discover search objects configuration workflow query query parameter expected behavior results according query content returned related work science take charge right beta tasks already charge estimation hours work work consists item indexing task solr documents pooledtask claimedtask resource types creation specific proves provided solution screenshot https user images githubusercontent png screenshot https user images githubusercontent png,11
https://github.com/DSpace/DSpace/issues/3185,config-file,facet entries discover facets facet endpoint return authority key describe bug calling dspace url api discover facets facet endpoint results include authority key even though reproduce set discovery core authority values facets config retrieve values call resulting facet entries include authority key expected behavior authority keys present response related work discovered due failing tests https github dspace dspace,-1
https://github.com/DSpace/DSpace/issues/8765,source-file,reset password work admin panel captcha verification enabled describe bug logged admin reset password another eperson throw trying reset password occured attempting reset password account associated following email address ids upchiapas edu behavior encountered also dspace demo website reproduce steps reproduce behavior must google recaptcha https wiki lyrasis display dsdoc captcha verification enabled reproduce bug log admin access control people edit person reset password related bug first described https github dspace dspace issues however angular resolve network tab see sent properly correct parameter forgot backend responds forbidden maybe something backend changed well,4
https://github.com/DSpace/DSpace/issues/8732," source-file,source-file , source-file ",default filter always applies register doi via item status page describe bug understanding functionality registering doi via item status page always bypass default filter defiened doiidentifierprovider bean identifier service xml config applying truefilter seeing something odd trying functionality looking logs added additional logging looks like truefilter checked twice additional check uses default filter post server api pid identifiers originated items edit register doi dspace identifier doiidentifierprovider check filter class dspace content logic truefilter dspace identifier doiidentifierprovider result filter true dspace identifier doiidentifierprovider check filter class dspace content logic truefilter dspace identifier doiidentifierprovider result filter true dspace identifier doiidentifierprovider check filter class dspace content logic defaultfilter dspace content logic condition isarchivedcondition result isarchived true dspace content logic condition iswithdrawncondition result iswithdrawn false dspace content logic condition incollectioncondition item collection returning true dspace identifier doiidentifierprovider result filter false dspace app rest exception dspaceapiexceptioncontrolleradvice exception occurred status lang illegalstateexception failed register identifier null dspace app rest repository identifierrestrepository registerdoi identifierrestrepository get message banner twice see two api calls developer tools method somehow called multiple times reproduce steps reproduce behavior log admin choose archived item without doi edit item item status click register doi confirm doi registration expected behavior registration always takes place bypassing default identifier filters related work link related tickets prs,11
https://github.com/DSpace/DSpace/issues/7946," source-file,source-file ",dspace rest api registries schema endpoint incorrectly handles fields without qualifiers describe bug dspace rest api https wiki lyrasis display dsdoc rest api endpoint allows get information metadata fields registry dspace handle metadata fields without qualifiers properly example title contributor returns http user logs following dspace log console dspace rest metadataregistryresource field title found fields obviously exist visible schema registry https demo dspace rest registries schema probably affects dspace well since rest api registries endpoint added dspace reproduce make rest registries schema endpoint metadata field without qualifier example https demo dspace rest registries schema metadata fields title https demo dspace rest registries schema metadata fields contributor expected behavior http response information metadata field example contributor advisor https demo dspace rest registries schema metadata fields contributor advisor,2
https://github.com/DSpace/DSpace/issues/3207,source-file,ldap authentication work properly without authentication ldap login groupmap option login via ldap keeps failing springframework boot web servlet errorpagefilter forwarding page api authn login due exception index bounds length lang arrayindexoutofboundsexception index bounds length dspace authenticate ldapauthentication assigngroups ldapauthentication dspace api beta snapshot jar beta snapshot dspace authenticate ldapauthentication authenticate ldapauthentication dspace api beta snapshot jar beta snapshot dspace authenticate authenticationserviceimpl authenticateinternal authenticationserviceimpl dspace api beta snapshot jar beta snapshot dspace authenticate authenticationserviceimpl authenticate authenticationserviceimpl dspace api beta snapshot jar beta snapshot dspace app rest security epersonrestauthenticationprovider authenticatenewlogin epersonrestauthenticationprovider classes beta snapshot dspace app rest security epersonrestauthenticationprovider authenticate epersonrestauthenticationprovider classes beta snapshot configured authentication ldap login groupmap option thought need apparently ldapauthentication work properly without option,4
https://github.com/DSpace/DSpace/issues/2826," source-file,source-file ",posting item returns null name rest api posting collections collectionid items field name item ignored command curl post https demo dspace rest collections collection items content type application json accept application json name returns uuid someuuid name null please correct wrong rest collectionsresource suggests metadata name item considered item getmetadata null https github dspace dspace blob dspace rest dspace rest collectionsresource time item accessed miss something,2
https://github.com/DSpace/DSpace/issues/10053," database-file , config-file ,source-file , source-file , other-file , config-file, test-file ",coar notify fixes endorsement pattern implementation fully adhere notify implementation describe bug current implementation coar notify dspace coar endorsement pattern fully adhere coar notify specification https coar notify specification overall current implementation works really well proposed fixes relatively minor fixes implemented tested collaboration pci service peer community full notify implementation already available currently used repositories csic spain hal france result associated provide fixes make implementation fully adhere notify specification well provide workflow supports integration pci endorsement services list identified issues current implementation assumes communications repository endorsement service machine machine offer notification sent repository actor hardcoded repository service see https github dspace dspace blob ccf dspace config ldn endorsement instead endorsement service expects email address form mailto email example email name submitter actor property acknowledgement notifications current implementation dspace requires type property received notifications includes type accept reject etc well including coar type coar type requestendorsement coar type set dspace returns null pointer notifications fails see https coar notify specification accept type property required must accept case accept ack instead dspace implementation could look coar type currently present look inreplyto property received notification fetch coar type original notification coar type presence required offer notification https coar notify specification endorsement none present fail expected acknowledgement notifications current dspace implementation requires context property present received notifications uses find associated dspace object presence context ack notifications optional https coar notify specification accept context property even mentioned ack notifications therefore dspace follow approach context property present find object associated inreplyto notification reproduce steps reproduce behaviour reproduce behaviour needed set connection pci staging environment expected behaviour service allow specify whether requires repository actor email address ideally done via configuration simple implementation could make use submitter email address name approach would require less modifications database tables flexible approach may needed could allow submitter specify email address different dspace submitter email address implementation fully adhere current notify implementation per description related work coming shortly,-1
https://github.com/DSpace/DSpace/issues/2962," test-file , test-file,source-file , source-file ",cors policy retrieving bitstream angular describe bug implementation angular counterpart scripts processes output https github dspace dspace marieverdonck noticed following retrieving output bitstream get call relevant process links output href link access xmlhttprequest http localhost server api core bitstreams content authentication token eyjhbgcioijiuzi nij eyjlawqioijjzdgynge nwjlltrlmtytymnjzc mwzlyti nza zdailcjzzyi simv cci mtu otcynzmzoh evcgqjjw dlq aujndczhb lxdygeex thhw origin http localhost blocked cors policy access control allow origin header present requested resource looks cors related first glance might need additional investigation well curl location get http localhost server api core bitstreams content header authorization bearer currentaccesstoken response headers screenshot https user images githubusercontent abc png might solvable cors headers properly set rest api might also another underlying readily apparent reproduce steps reproduce behaviour setup rest https github dspace dspace setup angular https github dspace dspace angular make sure trigger script keeps output download particular output bitstream expected behaviour bitstream properly downloaded cors logged information logs shown related work https github dspace dspace https github dspace dspace angular,-1
https://github.com/DSpace/DSpace/issues/8888," test-file , test-file,source-file , source-file ",shibboleth login leads page logging spaces get describe bug search space example testing turbine logging shibboleth result unauthorized status reproduce steps reproduce behavior following page https demo dspace search query testing turbine login shibboleth expected behavior login work related work link related tickets prs,4
https://github.com/enviroCar/enviroCar-server/issues/60," config-file , documentation-file ,source-file , source-file , other-file , config-file, test-file ",friendactivities https giv car uni muenster stable rest users turbomartin friendactivities github jmkgreen morphia utils assert assertionfailedexception parameter vals null github jmkgreen morphia utils assert raiseerror assert github jmkgreen morphia utils assert parametersnotnull assert github jmkgreen morphia query fieldendimpl hasanyof fieldendimpl github jmkgreen morphia query fieldendimpl fieldendimpl github jmkgreen morphia query fieldendimpl fieldendimpl car server mongo dao mongoactivitydao getforfriends mongoactivitydao car server core service getfriendactivities service car server rest resources friendsactivitiesresource statistics friendsactivitiesresource reflect generatedmethodaccessor invoke unknown reflect delegatingmethodaccessorimpl invoke delegatingmethodaccessorimpl lang reflect method invoke method jersey spi container javamethodinvokerfactory invoke javamethodinvokerfactory jersey server impl model method dispatch abstractresourcemethoddispatchprovider typeoutinvoker dispatch abstractresourcemethoddispatchprovider jersey server impl model method dispatch resourcejavamethoddispatcher dispatch resourcejavamethoddispatcher jersey server impl uri rules httpmethodrule accept httpmethodrule jersey server impl uri rules sublocatorrule accept sublocatorrule jersey server impl uri rules righthandpathrule accept righthandpathrule jersey server impl uri rules sublocatorrule accept sublocatorrule jersey server impl uri rules righthandpathrule accept righthandpathrule jersey server impl uri rules sublocatorrule accept sublocatorrule jersey server impl uri rules righthandpathrule accept righthandpathrule jersey server impl uri rules resourceclassrule accept resourceclassrule jersey server impl uri rules righthandpathrule accept righthandpathrule jersey server impl uri rules rootresourceclassesrule accept rootresourceclassesrule jersey server impl application webapplicationimpl handlerequest webapplicationimpl jersey server impl application webapplicationimpl handlerequest webapplicationimpl jersey server impl application webapplicationimpl handlerequest webapplicationimpl jersey server impl application webapplicationimpl handlerequest webapplicationimpl jersey spi container servlet webcomponent service webcomponent jersey spi container servlet servletcontainer service servletcontainer jersey spi container servlet servletcontainer service servletcontainer javax servlet http httpservlet service httpservlet google inject servlet servletdefinition doservice servletdefinition google inject servlet servletdefinition service servletdefinition google inject servlet managedservletpipeline service managedservletpipeline google inject servlet filterchaininvocation dofilter filterchaininvocation google inject servlet managedfilterpipeline dispatch managedfilterpipeline google inject servlet guicefilter dofilter guicefilter thetransactioncompany cors corsfilter dofilter corsfilter thetransactioncompany cors corsfilter dofilter corsfilter,8
https://github.com/enviroCar/enviroCar-server/issues/178," config-file , test-file,source-file , source-file , test-file ",schema resource redirect loop every schema schema resource https envirocar api stable schema lead redirect loop due content negotiation filter https github envirocar envirocar server blob rest envirocar server rest uricontentnegotiationfilter json part stripped filter resource https github envirocar envirocar server blob rest envirocar server rest resources jsonschemaresource return redirect present letting resource https github envirocar envirocar server blob rest envirocar server rest resources jsonschemaresource append json end schema look solve,-1
